priority	theme	content_kind	bytes	absolute_path	rationale	extraction_method	target_wiki_page	risk_note
2	free-span-metocean	pdf	3497969	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-L-LYO-10032-0001-A/GSM-AO-L-LYO-10032-0001-A.pdf	LYOS layout companion to -10033; covers Hilli vessel layout context	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-l-lyo-10032.md	primarily layout drawings
1	free-span-metocean	pdf	13181081	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-L-MCA-10022-0000-A.pdf	CTR-10 marine calc; latest 2026-01-06 transmittal — supersedes Dec-25 versions	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-l-mca-10022.md	multiple older revisions exist under 999 Work Space/CTR-10 — exclude from tranche
1	material-specs	pdf	4952997	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-HDS-10016-0000 - B.pdf	Client-supplied baseline flange data sheet rev B; pairs with DORIS markup variant	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-l-hds-10016-baseline.md	keep separate from CTR-04 markup variant
1	material-specs	pdf	6071526	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets w comments CODE B.pdf	DORIS-side review markup (CODE B) of the same flange HDS; engineering verification artifact	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-l-hds-10016-codeb.md	annotations inline with body — pdfminer.six fallback if collisions occur
1	subsea-valves-tbe	pdf	6893437	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/3. Trunnion_technicalbrochure_ENG_revA.pdf	PIETRO trunnion-mounted valve technical brochure; primary TBE vendor input	pdftotext-layout	wiki/sources/elements-sesa-tbe-pietro-trunnion.md	vendor brochure — do not republish wholesale until redistribution policy confirmed
1	subsea-valves-tbe	pdf	6589795	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/3. RMT VM_Technical Catalogue_TSE.pdf	RMT VALVOMECCANICA technical catalogue; second TBE vendor for cross-vendor comparison	pdftotext-layout	wiki/sources/elements-sesa-tbe-rmt-valvomeccanica.md	vendor brochure redistribution policy
2	subsea-valves-tbe	pptx	8569382	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/FSosa/ASTM Codes Comparisson/ASTM compliance_matrix_ASTM A351 CF8M and A182 F316_A276_T316.pptx	FSosa-authored ASTM compliance matrix crosswalking material specs across A351 / A182 / A276 — high-density engineering content	python-pptx-text	wiki/comparisons/sesa-astm-material-compliance-matrix.md	cross-references ASTM standards which belong in standards/ — link out, do not re-extract
1	logistics-deliverables	docx	4392975	/mnt/ace/doris/62092_sesa/999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025-cew updated.docx	Latest cew-updated logistics base description for San Antonio Este — narrative not derivable from technical reports	pandoc-to-markdown	wiki/sources/elements-sesa-san-antonio-este-logistics-base.md	earlier revisions exist (raw / cew) — exclude from tranche to avoid dedup noise
1	logistics-deliverables	pdf	9212274	/mnt/ace/doris/62092_sesa/002 Project Filing/Deliverables/GSM-AO-Q-PRO-10066-0000-A.pdf	Canonical Q-PRO-10066 deliverable from 002 Project Filing/Deliverables — supersedes 999 Work Space drafts	pdftotext-layout	wiki/sources/elements-sesa-gsm-ao-q-pro-10066.md	5 duplicate paths exist (.doc/.docx/.pdf, Old/ shadow, JWhipple/) — exclude all
2	logistics-deliverables	pdf	1395870	/mnt/ace/doris/62092_sesa/002 Project Filing/100 Project Management/190 Project Records/Presentations/61912-190-PRN-20251114_KOM.pdf	2025-11-14 KOM (kickoff) presentation; smallest in tranche but provides project-context anchor	pdftotext-layout	wiki/sources/elements-sesa-kom-presentation-20251114.md	slide deck — bullet-only text extraction
