extract_priority	wiki_domain_candidate	bucket	content_kind	extension	bytes	absolute_path	relative_path
medium	lng-projects	doris-62092-sesa	pdf	.pdf	9222880	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10066-0000-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-Q-PRO-10066-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	9222880	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/Client Supplied/GSM-AO-Q-PRO-10066-0000-A.pdf	999 Work Space/CTR-08/Client Supplied/GSM-AO-Q-PRO-10066-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	9217515	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/Old/GSM-AO-Q-PRO-10066-0000-A Rev JW.pdf	999 Work Space/CTR-08/Old/GSM-AO-Q-PRO-10066-0000-A Rev JW.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	9212274	/mnt/ace/doris/62092_sesa/002 Project Filing/Deliverables/GSM-AO-Q-PRO-10066-0000-A.pdf	002 Project Filing/Deliverables/GSM-AO-Q-PRO-10066-0000-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	9212274	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/GSM-AO-Q-PRO-10066-0000-A Rev JW JRA.pdf	999 Work Space/CTR-08/GSM-AO-Q-PRO-10066-0000-A Rev JW JRA.pdf
medium	lng-projects	doris-62092-sesa	presentation	.pptx	8569382	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/FSosa/ASTM Codes Comparisson/ASTM compliance_matrix_ASTM A351 CF8M and A182 F316_A276_T316.pptx	999 Work Space/CTR-01-Valves/FSosa/ASTM Codes Comparisson/ASTM compliance_matrix_ASTM A351 CF8M and A182 F316_A276_T316.pptx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	7982300	/mnt/ace/doris/62092_sesa/DNV-ST-F101.pdf	DNV-ST-F101.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	6893437	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/3. Trunnion_technicalbrochure_ENG_revA.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/PIETRO/3. Trunnion_technicalbrochure_ENG_revA.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	6589795	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/3. RMT VM_Technical Catalogue_TSE.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/3. RMT VM_Technical Catalogue_TSE.pdf
medium	lng-projects	doris-62092-sesa	presentation	.pptx	6564537	/mnt/ace/doris/62092_sesa/002 Project Filing/100 Project Management/190 Project Records/Presentations/61912-190-PRN-20251114_KOM.pptx	002 Project Filing/100 Project Management/190 Project Records/Presentations/61912-190-PRN-20251114_KOM.pptx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	6071526	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets w comments CODE B.pdf	999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets w comments CODE B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	6071526	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets w comments CODE B.pdf	999 Work Space/JWhipple/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets w comments CODE B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	5860055	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10042-0000-1-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10042-0000-1-A.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	5793210	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/GSM-AO-L-MCA-10025-0000-A.docx	000 Client Supplied/02-Free Span Analysis/GSM-AO-L-MCA-10025-0000-A.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	5418598	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets.pdf	999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	5418598	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets.pdf	999 Work Space/JWhipple/CTR-04/GSM-AO-L-HDS-10016-0000 Flange Data Sheets.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	4952997	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-HDS-10016-0000 - B.pdf	000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-HDS-10016-0000 - B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	4594199	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/4.1. Preliminary painting procedure.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/ATP SOLUTIONS/4.1. Preliminary painting procedure.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	4392975	/mnt/ace/doris/62092_sesa/999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025-cew updated.docx	999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025-cew updated.docx
medium	lng-projects	doris-62092-sesa	document	.docx	4392778	/mnt/ace/doris/62092_sesa/999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025-cew.docx	999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025-cew.docx
medium	lng-projects	doris-62092-sesa	document	.docx	4375090	/mnt/ace/doris/62092_sesa/999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025.docx	999 Work Space/cwhite/San Antonio Este - Logistics Base Description 18.11.2025.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	4189013	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-03-Free Span Calcs/GSM-AO-L-MCA-10025-0000-A Free Span Calculation MKII.pdf	999 Work Space/CTR-03-Free Span Calcs/GSM-AO-L-MCA-10025-0000-A Free Span Calculation MKII.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	4189013	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-03/GSM-AO-L-MCA-10025-0000-A Free Span Calculation MKII.pdf	999 Work Space/JWhipple/CTR-03/GSM-AO-L-MCA-10025-0000-A Free Span Calculation MKII.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	4171769	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-L-MCA-10022-0000-A.docx	000 Client Supplied/08 - Documents to Review CTR-08/2026-01-06/GSM-AO-L-MCA-10022-0000-A.docx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3944330	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/asme-b16-5-2013-flanged-fittings.pdf	999 Work Space/CTR-04/asme-b16-5-2013-flanged-fittings.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3916924	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-L-LYO-10033-0001-A/GSM-AO-L-LYO-10033-0001-A.pdf	000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-L-LYO-10033-0001-A/GSM-AO-L-LYO-10033-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3815816	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/GSM-AO-C-MCA-10054-0000-A-B.pdf	999 Work Space/JWhipple/CTR-04/GSM-AO-C-MCA-10054-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3814205	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-04/GSM-AO-C-MCA-10053-0000-A-B.pdf	999 Work Space/JWhipple/CTR-04/GSM-AO-C-MCA-10053-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	document	.doc	3676160	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-ITE-10011-0000-A.doc	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-ITE-10011-0000-A.doc
medium	lng-projects	doris-62092-sesa	document	.doc	3676160	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/Client Supplied/GSM-AO-C-ITE-10011-0000-A.doc	999 Work Space/CTR-09/Client Supplied/GSM-AO-C-ITE-10011-0000-A.doc
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3497969	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-L-LYO-10032-0001-A/GSM-AO-L-LYO-10032-0001-A.pdf	000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-L-LYO-10032-0001-A/GSM-AO-L-LYO-10032-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3489510	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-03-Free Span Calcs/GSM-AO-L-MCA-10024-0000-A Free Span Calculation HILLI.pdf	999 Work Space/CTR-03-Free Span Calcs/GSM-AO-L-MCA-10024-0000-A Free Span Calculation HILLI.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3489510	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-03/GSM-AO-L-MCA-10024-0000-A Free Span Calculation HILLI.pdf	999 Work Space/JWhipple/CTR-03/GSM-AO-L-MCA-10024-0000-A Free Span Calculation HILLI.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3462788	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-HDS-10021-0000-B.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-HDS-10021-0000-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3462788	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-HDS-10021-0000-B.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-HDS-10021-0000-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3354465	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-HDS-10021-0000-B-B.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-HDS-10021-0000-B-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3354465	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-HDS-10021-0000-B-B.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-HDS-10021-0000-B-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3276276	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-G-LYO-10021-0001-0/GSM-AO-G-LYO-10021-0001-0-A.pdf	000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-G-LYO-10021-0001-0/GSM-AO-G-LYO-10021-0001-0-A.pdf
medium	lng-projects	doris-62092-sesa	document	.docx	3114032	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-08/GSM-AO-C-ITE-10011-0000-A.docx	999 Work Space/JWhipple/CTR-08/GSM-AO-C-ITE-10011-0000-A.docx
medium	lng-projects	doris-62092-sesa	tabular	.xlsx	3039277	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-HDS-10016-0000 - B.xlsx	000 Client Supplied/03-Material Specs and DS/Flanges/GSM-AO-L-HDS-10016-0000 - B.xlsx
medium	lng-projects	doris-62092-sesa	tabular	.xlsx	3039277	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 - B.xlsx	999 Work Space/CTR-04/GSM-AO-L-HDS-10016-0000 - B.xlsx
medium	lng-projects	doris-62092-sesa	pdf	.pdf	3007680	/mnt/ace/doris/62092_sesa/002 Project Filing/100 Project Management/101 Contract/Carta Offerta SESA 12 11 2025 signed.pdf	002 Project Filing/100 Project Management/101 Contract/Carta Offerta SESA 12 11 2025 signed.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2967156	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B w comments CODE B.pdf	999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B w comments CODE B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2967156	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B w comments.pdf	999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B w comments.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2967156	/mnt/ace/doris/62092_sesa/999 Work Space/JWhipple/CTR-05/GSM-AO-L-HDS-10017-0000 -B w comments CODE B.pdf	999 Work Space/JWhipple/CTR-05/GSM-AO-L-HDS-10017-0000 -B w comments CODE B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2965203	/mnt/ace/doris/62092_sesa/000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-G-LYO-10027-0001-0/GSM-AO-G-LYO-10027-0001-0-B.pdf	000 Client Supplied/02-Free Span Analysis/1/LYOS/GSM-AO-G-LYO-10027-0001-0/GSM-AO-G-LYO-10027-0001-0-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2470730	/mnt/ace/doris/62092_sesa/000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/2. RMT VM Reference List - SUBSEA Shallow Water.pdf	000 Client Supplied/01-Subsea Valves TBE/AT Válvulas Offshore/3) Oferentes/RMT VALVOMECCANICA/2. RMT VM Reference List - SUBSEA Shallow Water.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2445629	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note.pdf	999 Work Space/CTR-01-Valves/62092-500-TCN-0001 Subsea Valves TBE Technical Note.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2406589	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-LYO-10034-0001-0.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-L-LYO-10034-0001-0.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2406589	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-L-LYO-10034-0001-0.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-L-LYO-10034-0001-0.pdf
medium	lng-projects	doris-62092-sesa	document	.doc	2390016	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-M-MOP-10001-00000-A.doc	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-M-MOP-10001-00000-A.doc
medium	lng-projects	doris-62092-sesa	document	.doc	2390016	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-11/Client Supplied/GSM-AO-M-MOP-10001-00000-A.doc	999 Work Space/CTR-11/Client Supplied/GSM-AO-M-MOP-10001-00000-A.doc
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2348582	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-CTD-10006-0001-A.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-CTD-10006-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2348582	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/Client Supplied/GSM-AO-C-CTD-10006-0001-A.pdf	999 Work Space/CTR-08/Client Supplied/GSM-AO-C-CTD-10006-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2302342	/mnt/ace/doris/62092_sesa/000 Client Supplied/03-Material Specs and DS/Fittings/GSM-AO-L-HDS-10017-0000 -B.pdf	000 Client Supplied/03-Material Specs and DS/Fittings/GSM-AO-L-HDS-10017-0000 -B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2302342	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B.pdf	999 Work Space/CTR-05/GSM-AO-L-HDS-10017-0000 -B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2274054	/mnt/ace/doris/62092_sesa/002 Project Filing/Deliverables/GSM-AO-C-CTD-10006-0001-A.pdf	002 Project Filing/Deliverables/GSM-AO-C-CTD-10006-0001-A.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2274054	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-08/GSM-AO-C-CTD-10006-0001-A Rev JRA_JW.pdf	999 Work Space/CTR-08/GSM-AO-C-CTD-10006-0001-A Rev JRA_JW.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2248943	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-C-CTD-10006-0001-A Rev JRA.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-C-CTD-10006-0001-A Rev JRA.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2190145	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-ETC-10009-0000-A-B.pdf	000 Client Supplied/08 - Documents to Review CTR-08/2025-12-18-DORIS/Envío a DORIS_18-12-2025/GSM-AO-C-ETC-10009-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2190145	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-10/Client Supplied/GSM-AO-C-ETC-10009-0000-A-B.pdf	999 Work Space/CTR-10/Client Supplied/GSM-AO-C-ETC-10009-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2123843	/mnt/ace/doris/62092_sesa/000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10011-0000-A-B.pdf	000 Client Supplied/08 - Documents to Review CTR-08/19-Dec-25/Estudios de referencia/GSM-AO-G-ITE-10011-0000-A-B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2098921	/mnt/ace/doris/62092_sesa/002 Project Filing/Deliverables/GSM-AO-L-ETC-10027-0000-A_B.pdf	002 Project Filing/Deliverables/GSM-AO-L-ETC-10027-0000-A_B.pdf
medium	lng-projects	doris-62092-sesa	pdf	.pdf	2098921	/mnt/ace/doris/62092_sesa/999 Work Space/CTR-09/GSM-AO-L-ETC-10027-0000-A w comment CODE B.pdf	999 Work Space/CTR-09/GSM-AO-L-ETC-10027-0000-A w comment CODE B.pdf
